Attraction Label,Loc or Edge Label,Description,Themes,Notes
CountryMusicHofF,NashvilleTN,The Country Music Hall of Fame,"MusicHistory, History, Music",
NatchezTraceStatePark,Nashville_tofrom_Jackson_on_I40,"Under President Franklin D. Roosevelt’s New Deal Program approximately 48,000 acres of land were purchased in the area of the park. This purchase provided jobs for many people. Programs such as the Civilian Conservation Corps and Works Progress Administration established many of the buildings still being used today and laid the foundation for what is now Natchez Trace State Park at the core of the large tract of public lands. The park's hiking trails, range from a one-half mile up to 4.5 miles, and a 40 mile overnight trail. The trails wind through the forest and fields and along the lakeshores and streams of Natchez Park. Visitors also enjoy the museum that features local and park history, picnic facilities, camping, cabins and lodges, boating and the park’s restaurant. https://tnstateparks.com/parks/natchez-trace","Parks, Hiking, Environment, Camping",
MousetailLandingStatePark,Nashville_tofrom_Jackson_on_I40,"This 1,247-acre area is located on the east banks of the Tennessee River. Tradition has it that Mousetail Landing received its name during the Civil War period when one of the area’s tanning companies caught fire. The exodus of mice fleeing the burning tannery was so profuse that the area in proximity of the park became known as Mousetail Landing. With Mousetail Landing State Park located on the Tennessee River, fishing is a popular activity. Fishing is permitted anywhere you can reach water. Bass, bream, crappie, stripe and catfish can be caught along the banks. Mousetail Landing has primitive campgrounds as well as sites with hookups for overnight guests.  https://tnstateparks.com/parks/mousetail-landing","Parks, Hiking, Environment, Camping",
GoldenGateBridge,SanFranciscoCA,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the one-mile-wide strait connecting San Francisco Bay and the Pacific Ocean.","Landmark, Nature, Walking ",
DisneyLand,LosAngelesCA_tofrom_IrvineCA_on_I-5S,"Disneyland is a theme park in Anaheim, California. Opened in 1955, it was the first theme park opened by The Walt Disney Company and the only one designed and constructed under the direct supervision of Walt Disney.","Kids, Rides, Shows, Movies, Magic",
GoldenGatePark,SanFranciscoCA,"Golden Gate Park is an urban park between the Richmond and Sunset districts of San Francisco, United States. It is the largest park in the city, containing 1,017 acres, and the third-most visited urban park in the United States, with an estimated 24 million visitors annually","Parks, Walking, Museums, Garden",
AshlandCityTN,AshlandCityTN,AshlandCity City Hall,"Building, Landmark",
WhiteBluffTN,WhiteBluffTN,WhiteBluff City Hall,"Building, Landmark",
FranklinTN,FranklinTN,Franklin City Hall,"Building, Landmark",
Dollywood,PigeonForgeTN,"Spanning 160 acres in the Great Smoky Mountains, Dollywood theme park offers more than 50 world-class rides, high-energy entertainment, award-winning dining and the friendliest theme park atmosphere in the world!","Parks, Kids, Rides, ",
RubyFalls,ChattanoogaTN,"Today, Ruby Falls welcomes guests to Lookout Mountain from around the world to enjoy underground cave adventures, spectacular views of the Cumberland Plateau, soaring zip lines and award-winning special events!","Hiking, Landmark, Environment, Nature",
CentennialPark,NashvilleTN,"Centennial Park is one of Nashville's premier parks. Located on West End and 25th Avenue North, the 132-acre features: the iconic Parthenon, a one-mile walking trail, Lake Watauga, the Centennial Art Center, historical monuments, an arts activity center, a beautiful sunken garden, a band shell, an events shelter, sand volleyball courts, dog park, and an exercise trail. Thousands of people visit the park each year to visit the museum, see exhibits, attend festivals, and just enjoy the beauty of the park.","Walking, Landmark, Environment, Nature",
VanderbiltUniversity,NashvilleTN,"Vanderbilt is a private research university in Nashville, Tennessee. It offers more than 70 undergraduate majors and a full range of graduate and professional degrees across 10 schools and colleges, all on a beautiful campus—an accredited arboretum—complete with athletic facilities and state-of-the-art laboratories.","Building, University, Walking",
OceanCityBoardwalk,OceanCityMD,"The Ocean City Boardwalk is an entertainment mainstay for visitors and locals alike and has been for more than 100 years.  Hotels and businesses, like the Atlantic Hotel, would lay down boards for guests to walk on and remove them at high tide.","Walking, Landmark, Rides",
WashingtonMonument,WashingtonDC,"Built in the shape of an Egyptian obelisk, evoking the timelessness of ancient civilizations, the Washington Monument embodies the awe, respect, and gratitude the nation felt for its most essential Founding Father.","History, Landmark, Walking, ",
RockCityGardens,ChattanoogaTN,"ock City Gardens, on Lookout Mountain, Georgia, is known for its dramatic rock formations, scenic trails, and ""See Seven States"" viewpoint.","Parks, Walking, Hiking",
WorldofCocaCola,AtlantaGA,"The World of Coca-Cola in Atlanta is a museum celebrating the history and culture of Coca-Cola, featuring interactive exhibits and a taste of Coca-Cola from around the world.","Movies, Walking, History, Museums",
DisneyWorld,OrlandoFL,"Disney World is a world-famous amusement park in Orlando, Florida, offering a magical experience with rides, attractions, and beloved Disney characters.","Rides, Parks, Walking, Magic, Kids, Shows, Movies",
Museum of Pop Culture (MoPOP),SeattleWA,"This museum celebrates pop culture with exhibits on music, science fiction, gaming, and more.","Museum, Building, History",
Space Needle,SeattleWA,"One of Seattle's most iconic landmarks, the Space Needle offers breathtaking views of the city from its observation deck.","Building, Landmark",
Pike Place Market,SeattleWA,"This historic market is known for its fresh produce, unique artisan shops, and the famous flying fish at Pike Place Fish Market",Food,
Chihuly Garden and Glass,SeattleWA,A stunning exhibition showcasing the glass art of Dale Chihuly. It features intricate glass sculptures and a beautiful glasshouse.,"Building, Museum, Garden",
Woodland Park Zoo,SeattleWA,This award-winning zoo is home to a variety of animals from around the world and is dedicated to conservation efforts,"Parks, Nature, Animals, Environment",
WhiteHouse,WashingtonDC,"The White House is the official residence and workplace of the president of the United States. It is located at 1600 Pennsylvania Avenue NW in Washington, D.C., and has been the residence of every U.S. president since John Adams in 1800 when the national capital was moved from Philadelphia to Washington, D.C.","Museum, Politics",
RockAndRollHallOfFame,ClevelandOH,"The Rock and Roll Hall of Fame (RRHOF), sometimes simply referred to as the Rock Hall, is a museum and hall of fame located in downtown Cleveland, Ohio, United States, on the shore of Lake Erie.","MusicHistory, History, Music",
LibertyBell,PhiladelphiaPA,"The Liberty Bell, previously called the State House Bell or Old State House Bell, is an iconic symbol of American independence located in Philadelphia.","History, Landmark, Walking",
HersheyPark,HersheyPA,"Hershey Park is an amusement park in Hershey PA, celebrating the famous Chocolate company","Parks, Kids",
FortMcHenry,BaltimoreMD,"Fort McHenry is the site of the war of 1812 and birthplace of the ""Star Spangled Banner""","History, Museum, Landmark",
BassProPyramid,MemphisTN,The Bass Pro Pyramid is a national wonder. It is a large pyramid containing a Bass Pro Shops,"Landmark, Retail, Nature",
Bean,ChicagoIL,The Bean is a giant bean mirror. Walk underneath the crevice and see yourself.,"Monument, Landmark",
LakeMichigan,ChicagoIL,Lake Michigan is one of the beautiful Great Lakes and a great place to venture around,"Hiking, Parks, Kids",
NavyPier,ChicagoIL,"Navy Pier is a classic outstretch onto the lake that has many tourist attractions, including carnivals and rides.","Walking, Parks, Kids, Rides",
